lr_group_0,lr_group_1,step,valid-uas_macro_f1,valid-uas_micro_f1,valid-las_macro_f1,valid-las_micro_f1,epoch,train-loss_arc,train-loss_type,train-loss
1.597444089456869e-07,1.597444089456869e-07,0,,,,,,,,
3.194888178913738e-07,3.194888178913738e-07,1,,,,,,,,
4.792332268370607e-07,4.792332268370607e-07,2,,,,,,,,
6.389776357827476e-07,6.389776357827476e-07,3,,,,,,,,
7.987220447284345e-07,7.987220447284345e-07,4,,,,,,,,
9.584664536741213e-07,9.584664536741213e-07,5,,,,,,,,
1.1182108626198083e-06,1.1182108626198083e-06,6,,,,,,,,
1.2779552715654952e-06,1.2779552715654952e-06,7,,,,,,,,
1.4376996805111822e-06,1.4376996805111822e-06,8,,,,,,,,
1.597444089456869e-06,1.597444089456869e-06,9,,,,,,,,
1.7571884984025559e-06,1.7571884984025559e-06,10,,,,,,,,
1.9169329073482426e-06,1.9169329073482426e-06,11,,,,,,,,
2.0766773162939296e-06,2.0766773162939296e-06,12,,,,,,,,
2.2364217252396165e-06,2.2364217252396165e-06,13,,,,,,,,
2.3961661341853035e-06,2.3961661341853035e-06,14,,,,,,,,
,,14,7.3112664222717285,10.695234298706055,0.4253712594509125,0.3778449594974518,0,,,
2.5559105431309904e-06,2.5559105431309904e-06,16,,,,,,,,
2.7156549520766774e-06,2.7156549520766774e-06,17,,,,,,,,
2.8753993610223644e-06,2.8753993610223644e-06,18,,,,,,,,
3.0351437699680513e-06,3.0351437699680513e-06,19,,,,,,,,
3.194888178913738e-06,3.194888178913738e-06,20,,,,,,,,
3.354632587859425e-06,3.354632587859425e-06,21,,,,,,,,
3.5143769968051118e-06,3.5143769968051118e-06,22,,,,,,,,
3.6741214057507987e-06,3.6741214057507987e-06,23,,,,,,,,
3.833865814696485e-06,3.833865814696485e-06,24,,,,,,,,
3.993610223642173e-06,3.993610223642173e-06,25,,,,,,,,
4.153354632587859e-06,4.153354632587859e-06,26,,,,,,,,
4.3130990415335465e-06,4.3130990415335465e-06,27,,,,,,,,
4.472843450479233e-06,4.472843450479233e-06,28,,,,,,,,
4.6325878594249205e-06,4.6325878594249205e-06,29,,,,,,,,
4.792332268370607e-06,4.792332268370607e-06,30,,,,,,,,
,,29,16.16886329650879,19.44790267944336,0.6557096838951111,1.3335703611373901,0,,,
4.952076677316294e-06,4.952076677316294e-06,32,,,,,,,,
5.111821086261981e-06,5.111821086261981e-06,33,,,,,,,,
5.2715654952076674e-06,5.2715654952076674e-06,34,,,,,,,,
5.431309904153355e-06,5.431309904153355e-06,35,,,,,,,,
5.591054313099041e-06,5.591054313099041e-06,36,,,,,,,,
5.750798722044729e-06,5.750798722044729e-06,37,,,,,,,,
5.910543130990415e-06,5.910543130990415e-06,38,,,,,,,,
6.070287539936103e-06,6.070287539936103e-06,39,,,,,,,,
6.230031948881789e-06,6.230031948881789e-06,40,,,,,,,,
6.389776357827476e-06,6.389776357827476e-06,41,,,,,,,,
6.549520766773164e-06,6.549520766773164e-06,42,,,,,,,,
6.70926517571885e-06,6.70926517571885e-06,43,,,,,,,,
6.869009584664538e-06,6.869009584664538e-06,44,,,,,,,,
7.0287539936102235e-06,7.0287539936102235e-06,45,,,,,,,,
7.188498402555911e-06,7.188498402555911e-06,46,,,,,,,,
,,44,16.201675415039062,19.443456649780273,0.20900607109069824,0.6979018449783325,0,,,
7.3482428115015974e-06,7.3482428115015974e-06,48,,,,,,,,
7.507987220447285e-06,7.507987220447285e-06,49,,,,,,,,
7.66773162939297e-06,7.66773162939297e-06,50,,,,,,,,
7.82747603833866e-06,7.82747603833866e-06,51,,,,,,,,
7.987220447284345e-06,7.987220447284345e-06,52,,,,,,,,
,,49,,,,,0,2.4232683181762695,2.8260276317596436,5.249296188354492
8.146964856230033e-06,8.146964856230033e-06,54,,,,,,,,
8.306709265175718e-06,8.306709265175718e-06,55,,,,,,,,
8.466453674121406e-06,8.466453674121406e-06,56,,,,,,,,
8.626198083067093e-06,8.626198083067093e-06,57,,,,,,,,
8.78594249201278e-06,8.78594249201278e-06,58,,,,,,,,
8.945686900958466e-06,8.945686900958466e-06,59,,,,,,,,
9.105431309904154e-06,9.105431309904154e-06,60,,,,,,,,
9.265175718849841e-06,9.265175718849841e-06,61,,,,,,,,
9.424920127795528e-06,9.424920127795528e-06,62,,,,,,,,
9.584664536741214e-06,9.584664536741214e-06,63,,,,,,,,
,,59,16.203887939453125,19.443456649780273,1.5589979887008667,4.378556251525879,0,,,
9.744408945686901e-06,9.744408945686901e-06,65,,,,,,,,
9.904153354632589e-06,9.904153354632589e-06,66,,,,,,,,
1.0063897763578276e-05,1.0063897763578276e-05,67,,,,,,,,
1.0223642172523962e-05,1.0223642172523962e-05,68,,,,,,,,
1.038338658146965e-05,1.038338658146965e-05,69,,,,,,,,
1.0543130990415335e-05,1.0543130990415335e-05,70,,,,,,,,
1.0702875399361024e-05,1.0702875399361024e-05,71,,,,,,,,
1.086261980830671e-05,1.086261980830671e-05,72,,,,,,,,
1.1022364217252397e-05,1.1022364217252397e-05,73,,,,,,,,
1.1182108626198083e-05,1.1182108626198083e-05,74,,,,,,,,
1.134185303514377e-05,1.134185303514377e-05,75,,,,,,,,
1.1501597444089457e-05,1.1501597444089457e-05,76,,,,,,,,
1.1661341853035145e-05,1.1661341853035145e-05,77,,,,,,,,
1.182108626198083e-05,1.182108626198083e-05,78,,,,,,,,
1.1980830670926518e-05,1.1980830670926518e-05,79,,,,,,,,
,,74,17.16419219970703,21.523826599121094,3.3674652576446533,6.9656829833984375,0,,,
1.2140575079872205e-05,1.2140575079872205e-05,81,,,,,,,,
1.2300319488817893e-05,1.2300319488817893e-05,82,,,,,,,,
1.2460063897763578e-05,1.2460063897763578e-05,83,,,,,,,,
1.2619808306709266e-05,1.2619808306709266e-05,84,,,,,,,,
1.2779552715654951e-05,1.2779552715654951e-05,85,,,,,,,,
1.2939297124600639e-05,1.2939297124600639e-05,86,,,,,,,,
1.3099041533546328e-05,1.3099041533546328e-05,87,,,,,,,,
1.3258785942492014e-05,1.3258785942492014e-05,88,,,,,,,,
1.34185303514377e-05,1.34185303514377e-05,89,,,,,,,,
1.3578274760383387e-05,1.3578274760383387e-05,90,,,,,,,,
1.3738019169329076e-05,1.3738019169329076e-05,91,,,,,,,,
1.3897763578274761e-05,1.3897763578274761e-05,92,,,,,,,,
1.4057507987220447e-05,1.4057507987220447e-05,93,,,,,,,,
1.4217252396166134e-05,1.4217252396166134e-05,94,,,,,,,,
1.4376996805111822e-05,1.4376996805111822e-05,95,,,,,,,,
,,89,16.739727020263672,22.72403907775879,3.900296449661255,7.779160976409912,0,,,
1.453674121405751e-05,1.453674121405751e-05,97,,,,,,,,
1.4696485623003195e-05,1.4696485623003195e-05,98,,,,,,,,
1.485623003194888e-05,1.485623003194888e-05,99,,,,,,,,
1.501597444089457e-05,1.501597444089457e-05,100,,,,,,,,
1.5175718849840257e-05,1.5175718849840257e-05,101,,,,,,,,
1.533546325878594e-05,1.533546325878594e-05,102,,,,,,,,
1.549520766773163e-05,1.549520766773163e-05,103,,,,,,,,
1.565495207667732e-05,1.565495207667732e-05,104,,,,,,,,
1.5814696485623005e-05,1.5814696485623005e-05,105,,,,,,,,
1.597444089456869e-05,1.597444089456869e-05,106,,,,,,,,
,,99,,,,,0,2.181063175201416,1.6060266494750977,3.7870898246765137
1.6134185303514376e-05,1.6134185303514376e-05,108,,,,,,,,
1.6293929712460065e-05,1.6293929712460065e-05,109,,,,,,,,
1.645367412140575e-05,1.645367412140575e-05,110,,,,,,,,
1.6613418530351437e-05,1.6613418530351437e-05,111,,,,,,,,
1.6773162939297126e-05,1.6773162939297126e-05,112,,,,,,,,
,,104,22.082870483398438,27.075923919677734,5.059863567352295,10.188477516174316,0,,,
1.693290734824281e-05,1.693290734824281e-05,114,,,,,,,,
1.70926517571885e-05,1.70926517571885e-05,115,,,,,,,,
1.7252396166134186e-05,1.7252396166134186e-05,116,,,,,,,,
1.7412140575079875e-05,1.7412140575079875e-05,117,,,,,,,,
1.757188498402556e-05,1.757188498402556e-05,118,,,,,,,,
1.7731629392971247e-05,1.7731629392971247e-05,119,,,,,,,,
1.7891373801916932e-05,1.7891373801916932e-05,120,,,,,,,,
1.805111821086262e-05,1.805111821086262e-05,121,,,,,,,,
1.8210862619808307e-05,1.8210862619808307e-05,122,,,,,,,,
1.8370607028753993e-05,1.8370607028753993e-05,123,,,,,,,,
1.8530351437699682e-05,1.8530351437699682e-05,124,,,,,,,,
1.869009584664537e-05,1.869009584664537e-05,125,,,,,,,,
1.8849840255591057e-05,1.8849840255591057e-05,126,,,,,,,,
1.9009584664536742e-05,1.9009584664536742e-05,127,,,,,,,,
1.9169329073482428e-05,1.9169329073482428e-05,128,,,,,,,,
,,119,27.797853469848633,35.855262756347656,10.792620658874512,17.25640106201172,0,,,
1.9329073482428117e-05,1.9329073482428117e-05,130,,,,,,,,
1.9488817891373803e-05,1.9488817891373803e-05,131,,,,,,,,
1.964856230031949e-05,1.964856230031949e-05,132,,,,,,,,
1.9808306709265177e-05,1.9808306709265177e-05,133,,,,,,,,
1.9968051118210863e-05,1.9968051118210863e-05,134,,,,,,,,
2.0127795527156552e-05,2.0127795527156552e-05,135,,,,,,,,
2.0287539936102238e-05,2.0287539936102238e-05,136,,,,,,,,
2.0447284345047924e-05,2.0447284345047924e-05,137,,,,,,,,
2.0607028753993613e-05,2.0607028753993613e-05,138,,,,,,,,
2.07667731629393e-05,2.07667731629393e-05,139,,,,,,,,
