lr_group_0,lr_group_1,step,valid-loss,valid-entity_macro_f1,valid-character_macro_f1,epoch,train-loss
5e-05,5e-05,0,,,,,
4.989333333333334e-05,4.989333333333334e-05,1,,,,,
4.978666666666667e-05,4.978666666666667e-05,2,,,,,
4.9680000000000005e-05,4.9680000000000005e-05,3,,,,,
4.9573333333333335e-05,4.9573333333333335e-05,4,,,,,
4.9466666666666665e-05,4.9466666666666665e-05,5,,,,,
4.936e-05,4.936e-05,6,,,,,
,,6,0.91645348072052,0.0,6.693272217257032,0,
4.925333333333333e-05,4.925333333333333e-05,8,,,,,
4.914666666666667e-05,4.914666666666667e-05,9,,,,,
4.9040000000000005e-05,4.9040000000000005e-05,10,,,,,
4.8933333333333335e-05,4.8933333333333335e-05,11,,,,,
4.882666666666667e-05,4.882666666666667e-05,12,,,,,
4.872000000000001e-05,4.872000000000001e-05,13,,,,,
4.861333333333333e-05,4.861333333333333e-05,14,,,,,
,,13,0.5220536589622498,14.930450812803752,32.58132833238187,0,
4.850666666666667e-05,4.850666666666667e-05,16,,,,,
4.8400000000000004e-05,4.8400000000000004e-05,17,,,,,
4.8293333333333334e-05,4.8293333333333334e-05,18,,,,,
4.818666666666667e-05,4.818666666666667e-05,19,,,,,
4.808e-05,4.808e-05,20,,,,,
4.797333333333334e-05,4.797333333333334e-05,21,,,,,
4.7866666666666674e-05,4.7866666666666674e-05,22,,,,,
,,20,0.35156381130218506,39.86932715572023,59.99049246532145,0,
4.7760000000000004e-05,4.7760000000000004e-05,24,,,,,
4.765333333333333e-05,4.765333333333333e-05,25,,,,,
4.754666666666667e-05,4.754666666666667e-05,26,,,,,
4.744e-05,4.744e-05,27,,,,,
4.7333333333333336e-05,4.7333333333333336e-05,28,,,,,
4.7226666666666666e-05,4.7226666666666666e-05,29,,,,,
4.712e-05,4.712e-05,30,,,,,
,,27,0.26874855160713196,54.25221792682836,68.00118150565105,0,
4.701333333333334e-05,4.701333333333334e-05,32,,,,,
4.690666666666667e-05,4.690666666666667e-05,33,,,,,
4.6800000000000006e-05,4.6800000000000006e-05,34,,,,,
4.6693333333333336e-05,4.6693333333333336e-05,35,,,,,
4.6586666666666666e-05,4.6586666666666666e-05,36,,,,,
4.648e-05,4.648e-05,37,,,,,
4.637333333333333e-05,4.637333333333333e-05,38,,,,,
,,34,0.2374429702758789,50.0574043200957,66.44282751298485,0,
4.626666666666667e-05,4.626666666666667e-05,40,,,,,
4.6160000000000005e-05,4.6160000000000005e-05,41,,,,,
4.6053333333333335e-05,4.6053333333333335e-05,42,,,,,
4.594666666666667e-05,4.594666666666667e-05,43,,,,,
4.584e-05,4.584e-05,44,,,,,
4.573333333333333e-05,4.573333333333333e-05,45,,,,,
4.562666666666667e-05,4.562666666666667e-05,46,,,,,
,,41,0.19343960285186768,58.537218408642886,75.85036488970131,0,
4.5520000000000005e-05,4.5520000000000005e-05,48,,,,,
4.5413333333333334e-05,4.5413333333333334e-05,49,,,,,
4.530666666666667e-05,4.530666666666667e-05,50,,,,,
4.52e-05,4.52e-05,51,,,,,
4.509333333333334e-05,4.509333333333334e-05,52,,,,,
4.4986666666666674e-05,4.4986666666666674e-05,53,,,,,
4.488e-05,4.488e-05,54,,,,,
,,48,0.1696189045906067,71.85020855815968,84.08275413711621,0,
