lr_group_0,lr_group_1,step,valid-loss,valid-entity_macro_f1,valid-character_macro_f1,epoch,train-loss
4.989333333333334e-05,4.989333333333334e-05,0,,,,,
4.978666666666667e-05,4.978666666666667e-05,1,,,,,
4.9680000000000005e-05,4.9680000000000005e-05,2,,,,,
4.9573333333333335e-05,4.9573333333333335e-05,3,,,,,
4.9466666666666665e-05,4.9466666666666665e-05,4,,,,,
4.936e-05,4.936e-05,5,,,,,
4.925333333333333e-05,4.925333333333333e-05,6,,,,,
,,6,0.6030896902084351,0.0,6.693272217257032,0,
4.914666666666667e-05,4.914666666666667e-05,8,,,,,
4.9040000000000005e-05,4.9040000000000005e-05,9,,,,,
4.8933333333333335e-05,4.8933333333333335e-05,10,,,,,
4.882666666666667e-05,4.882666666666667e-05,11,,,,,
4.872000000000001e-05,4.872000000000001e-05,12,,,,,
4.861333333333333e-05,4.861333333333333e-05,13,,,,,
4.850666666666667e-05,4.850666666666667e-05,14,,,,,
,,13,0.34000450372695923,9.018720346217219,27.559107599064088,0,
4.8400000000000004e-05,4.8400000000000004e-05,16,,,,,
4.8293333333333334e-05,4.8293333333333334e-05,17,,,,,
4.818666666666667e-05,4.818666666666667e-05,18,,,,,
4.808e-05,4.808e-05,19,,,,,
4.797333333333334e-05,4.797333333333334e-05,20,,,,,
4.7866666666666674e-05,4.7866666666666674e-05,21,,,,,
4.7760000000000004e-05,4.7760000000000004e-05,22,,,,,
,,20,0.22947651147842407,23.224358514058085,38.275219479964846,0,
4.765333333333333e-05,4.765333333333333e-05,24,,,,,
4.754666666666667e-05,4.754666666666667e-05,25,,,,,
4.744e-05,4.744e-05,26,,,,,
4.7333333333333336e-05,4.7333333333333336e-05,27,,,,,
4.7226666666666666e-05,4.7226666666666666e-05,28,,,,,
4.712e-05,4.712e-05,29,,,,,
4.701333333333334e-05,4.701333333333334e-05,30,,,,,
,,27,0.17555606365203857,37.859652814009046,51.208287673249274,0,
4.690666666666667e-05,4.690666666666667e-05,32,,,,,
4.6800000000000006e-05,4.6800000000000006e-05,33,,,,,
4.6693333333333336e-05,4.6693333333333336e-05,34,,,,,
4.6586666666666666e-05,4.6586666666666666e-05,35,,,,,
4.648e-05,4.648e-05,36,,,,,
4.637333333333333e-05,4.637333333333333e-05,37,,,,,
4.626666666666667e-05,4.626666666666667e-05,38,,,,,
,,34,0.13534878194332123,50.74342413802704,65.17399943664883,0,
4.6160000000000005e-05,4.6160000000000005e-05,40,,,,,
4.6053333333333335e-05,4.6053333333333335e-05,41,,,,,
4.594666666666667e-05,4.594666666666667e-05,42,,,,,
4.584e-05,4.584e-05,43,,,,,
4.573333333333333e-05,4.573333333333333e-05,44,,,,,
4.562666666666667e-05,4.562666666666667e-05,45,,,,,
4.5520000000000005e-05,4.5520000000000005e-05,46,,,,,
,,41,0.12278805673122406,60.6850494578883,76.72250637511009,0,
4.5413333333333334e-05,4.5413333333333334e-05,48,,,,,
4.530666666666667e-05,4.530666666666667e-05,49,,,,,
4.52e-05,4.52e-05,50,,,,,
4.509333333333334e-05,4.509333333333334e-05,51,,,,,
4.4986666666666674e-05,4.4986666666666674e-05,52,,,,,
4.488e-05,4.488e-05,53,,,,,
4.4773333333333334e-05,4.4773333333333334e-05,54,,,,,
,,48,0.09587768465280533,70.52780765739634,83.17580177189873,0,
4.466666666666667e-05,4.466666666666667e-05,56,,,,,
,,49,,,,0,0.05799955874681473
4.456e-05,4.456e-05,58,,,,,
4.445333333333334e-05,4.445333333333334e-05,59,,,,,
4.434666666666667e-05,4.434666666666667e-05,60,,,,,
4.424e-05,4.424e-05,61,,,,,
4.413333333333334e-05,4.413333333333334e-05,62,,,,,
4.402666666666666e-05,4.402666666666666e-05,63,,,,,
,,55,0.09302089363336563,72.81050146019169,83.48543893353427,0,
4.392e-05,4.392e-05,65,,,,,
4.3813333333333336e-05,4.3813333333333336e-05,66,,,,,
4.3706666666666666e-05,4.3706666666666666e-05,67,,,,,
4.36e-05,4.36e-05,68,,,,,
4.349333333333334e-05,4.349333333333334e-05,69,,,,,
4.338666666666667e-05,4.338666666666667e-05,70,,,,,
4.3280000000000006e-05,4.3280000000000006e-05,71,,,,,
,,62,0.08613081276416779,76.13289760348584,85.25270370360212,0,
4.3173333333333336e-05,4.3173333333333336e-05,73,,,,,
4.3066666666666665e-05,4.3066666666666665e-05,74,,,,,
4.296e-05,4.296e-05,75,,,,,
4.285333333333333e-05,4.285333333333333e-05,76,,,,,
4.274666666666667e-05,4.274666666666667e-05,77,,,,,
4.2640000000000005e-05,4.2640000000000005e-05,78,,,,,
4.2533333333333335e-05,4.2533333333333335e-05,79,,,,,
,,69,0.07827306538820267,78.09976414665783,87.0039870456568,0,
4.242666666666667e-05,4.242666666666667e-05,81,,,,,
4.232e-05,4.232e-05,82,,,,,
4.221333333333334e-05,4.221333333333334e-05,83,,,,,
4.210666666666667e-05,4.210666666666667e-05,84,,,,,
4.2e-05,4.2e-05,85,,,,,
4.1893333333333334e-05,4.1893333333333334e-05,86,,,,,
4.178666666666667e-05,4.178666666666667e-05,87,,,,,
,,76,0.07284623384475708,76.34849322586386,86.5177603764346,0,
4.168e-05,4.168e-05,89,,,,,
4.157333333333334e-05,4.157333333333334e-05,90,,,,,
4.146666666666667e-05,4.146666666666667e-05,91,,,,,
4.1360000000000004e-05,4.1360000000000004e-05,92,,,,,
4.1253333333333334e-05,4.1253333333333334e-05,93,,,,,
4.1146666666666663e-05,4.1146666666666663e-05,94,,,,,
4.104e-05,4.104e-05,95,,,,,
,,83,0.07223203778266907,78.45050892279856,87.26027796802083,0,
4.093333333333334e-05,4.093333333333334e-05,97,,,,,
4.0826666666666667e-05,4.0826666666666667e-05,98,,,,,
